Order_ID,Customer_Name,Industry,Product,City_Province,Order_Date,Shipping_Date,Units_Sold,Price_per_Unit,Status
ORD20241,Bell,Construction,Banner Print,"Halifax, Nova Scotia",08/01/2024,2024-01-10,50,283.63,Shipped
ORD20242,Bell,Events,LED signage,"Quebec City, Quebec",01/09/2024,06-Sep-2024,12,410.36,Processing
ORD20243,Bell,Events,banner print,"Vancouver, British Columbia",2024-07-20,21-Jul-2024,196,$479.42,Shipped
ORD20244,Lululemon,Retail,LED Signage,"Surrey, British Columbia",2024-08-13,2024-08-19,95,$132.6,Shipped
ORD20245,Lululemon,Construction,banner print,"Vancouver, British Columbia",2024-09-22,26-Sep-2024,92,103.17,Shipped
ORD20246,Cineplex,Retail,Fabric Display,"Surrey, British Columbia",2024-01-12,2024-01-17,164,232.22,Delivered
ORD20247,Walmart,Hospitality,LED signage,"Brampton, Ontario",2024-10-12,2024-10-13,39,$289.16,Delivered
ORD20248,FIFA,Sports,banner print,"Montreal, Quebec",2024-09-23,2024-09-24,97,395.3,Shipped
ORD20249,Lululemon,Retail,,"Halifax, Nova Scotia",25/11/2024,2024-11-30,114,$385.35,Processing
ORD202410,Adidas,Events,banner print,"Vancouver, British Columbia",08/03/2024,11-Mar-2024,28,$225.91,Delivered
ORD202411,Bell,Sports,Fabric Display,"Brampton, Ontario",29/06/2024,01-Jul-2024,16,$59.49,Processing
ORD202412,FIFA,Events,,"Halifax, Nova Scotia",2024-10-26,2024-10-30,105,209.62,Delivered
ORD202413,Cineplex,Construction,Fabric Display,"Mississauga, Ontario",18/08/2024,19-Aug-2024,47,$188.01,Shipped
ORD202414,Adidas,Sports,Lightbox Frame,"Montreal, Quebec",2024-09-08,11-Sep-2024,47,281.34,Delivered
ORD202415,Adidas,Hospitality,LED Signage,"Quebec City, Quebec",06/12/2024,08-Dec-2024,127,$406.91,Delivered
ORD202416,Adidas,Events,LED Signage,"Mississauga, Ontario",09/11/2024,2024-11-12,142,$113.06,Processing
ORD202417,Walmart,Sports,banner print,"Mississauga, Ontario",2024-10-22,2024-10-28,11,176.5,Delivered
ORD202418,Lululemon,Hospitality,LED Signage,"Montreal, Quebec",29/04/2024,03-May-2024,132,$400.42,Delivered
ORD202419,Nike,Events,Lightbox Frame,"Edmonton, Alberta",29/03/2024,2024-04-03,109,337.11,Delivered
ORD202420,Walmart,Events,,"Vancouver, British Columbia",30/04/2024,2024-05-05,91,$66.06,Delivered
ORD202421,Nike,Construction,,"Calgary, Alberta",2024-05-09,10-May-2024,82,$249.37,Delivered
ORD202422,FIFA,Construction,,"Surrey, British Columbia",01/06/2024,2024-06-02,5,98.55,Processing
ORD202423,Bell,Events,banner print,"Surrey, British Columbia",2024-06-14,20-Jun-2024,128,$139.07,Delivered
ORD202424,Adidas,Hospitality,LED Signage," Winnipeg, Manitoba ",2024-02-11,2024-02-15,5,$95.47,Shipped
ORD202425,Nike,Events,,"Toronto, Ontario",10/08/2024,2024-08-14,126,189.37,Shipped
ORD202426,Rogers,Events,Lightbox Frame,"Edmonton, Alberta",31/01/2024,02-Feb-2024,89,462.23,Processing
ORD202427,Nike,Events,LED signage,"Edmonton, Alberta",2024-08-10,13-Aug-2024,180,$321.93,Delivered
ORD202428,FIFA,Retail,Lightbox Frame,"Brampton, Ontario",2024-11-23,2024-11-27,93,143.47,Processing
ORD202429,Rogers,Construction,Banner Print,"Surrey, British Columbia",2024-01-25,2024-01-27,115,$297.56,Delivered
ORD202430,Nike,Events,Lightbox Frame,"Calgary, Alberta",02/10/2024,2024-10-03,35,435.1,Processing
ORD202431,Walmart,Sports,LED Signage,"Surrey, British Columbia",16/07/2024,22-Jul-2024,122,466.58,Shipped
ORD202432,Lululemon,Sports,banner print,"Edmonton, Alberta",04/08/2024,2024-08-05,15,$53.75,Processing
ORD202433,Rogers,Retail,LED Signage,"Mississauga, Ontario",2024-03-31,03-Apr-2024,167,$464.37,Processing
ORD202434,Cineplex,Sports,banner print,"Calgary, Alberta",25/10/2024,31-Oct-2024,175,323.27,Delivered
ORD202435,Lululemon,Events,Acrylic Panel,"Quebec City, Quebec",2024-01-12,15-Jan-2024,193,140.72,Shipped
ORD202436,Nike,Construction,LED signage,"Quebec City, Quebec",2024-02-25,2024-02-29,140,$60.81,Shipped
ORD202437,FIFA,Hospitality,Acrylic Panel,"Mississauga, Ontario",05/06/2024,2024-06-11,149,249.73,Shipped
