Order_ID,Customer_Name,Industry,Product,City_Province,Order_Date,Shipping_Date,Units_Sold,Price_per_Unit,Status
ORD20221,Bell,Sports,LED signage,"Montreal, Quebec",03/06/2022,07-Jun-2022,92,$66.43,Shipped
ORD20222,Nike,Hospitality,Lightbox Frame,"Montreal, Quebec",2022-12-30,2023-01-05,89,$267.91,Shipped
ORD20223,Nike,Hospitality,banner print,"Quebec City, Quebec",08/12/2022,2022-12-10,195,270.4,Delivered
ORD20224,FIFA,Hospitality,Fabric Display,"Halifax, Nova Scotia",2022-08-02,2022-08-04,70,467.61,Delivered
ORD20225,Lululemon,Hospitality,Banner Print,"Brampton, Ontario",2022-12-14,2022-12-15,92,70.72,Shipped
ORD20226,Bell,Hospitality,Banner Print,"Surrey, British Columbia",2022-08-01,2022-08-05,90,$92.52,Shipped
ORD20227,Cineplex,Events,Lightbox Frame,"Edmonton, Alberta",09/09/2022,2022-09-15,149,38.86,Delivered
ORD20228,Walmart,Events,Banner Print,"Mississauga, Ontario",2022-03-05,2022-03-08,32,243.26,Delivered
ORD20229,Rogers,Sports,LED Signage,"Quebec City, Quebec",28/08/2022,31-Aug-2022,131,488.77,Delivered
ORD202210,FIFA,Retail,Fabric Display,"Toronto, Ontario",20/06/2022,2022-06-25,21,118.18,Shipped
ORD202211,Walmart,Hospitality,Acrylic Panel,"Halifax, Nova Scotia",2022-12-28,02-Jan-2023,82,$192.58,Delivered
ORD202212,Lululemon,Retail,Lightbox Frame,"Mississauga, Ontario",29/12/2022,2022-12-30,80,$319.91,Delivered
ORD202213,Rogers,Retail,LED signage,"Toronto, Ontario",09/04/2022,13-Apr-2022,151,$120.98,Shipped
ORD202214,Nike,Retail,LED signage,"Mississauga, Ontario",2022-12-29,2022-12-30,81,$275.41,Delivered
ORD202215,Lululemon,Construction,Fabric Display,"Edmonton, Alberta",12/07/2022,2022-07-15,135,487.82,Delivered
ORD202216,Adidas,Retail,,"Brampton, Ontario",2022-12-30,31-Dec-2022,89,30.15,Shipped
ORD202217,Lululemon,Retail,banner print,"Toronto, Ontario",2022-03-03,2022-03-04,93,167.54,Processing
ORD202218,Cineplex,Construction,Acrylic Panel,"Vancouver, British Columbia",2022-10-25,2022-10-31,13,$437.15,Processing
ORD202219,Rogers,Events,Banner Print," Winnipeg, Manitoba ",14/02/2022,2022-02-20,75,$282.68,Shipped
ORD202220,Cineplex,Events,LED Signage,"Brampton, Ontario",20/04/2022,2022-04-23,155,56.82,Delivered
ORD202221,Walmart,Retail,banner print,"Edmonton, Alberta",23/01/2022,2022-01-27,59,$164.71,Delivered
ORD202222,Rogers,Hospitality,Acrylic Panel,"Quebec City, Quebec",2022-01-21,2022-01-25,119,266.91,Shipped
ORD202223,Lululemon,Construction,Lightbox Frame," Winnipeg, Manitoba ",22/02/2022,26-Feb-2022,144,$198.79,Shipped
ORD202224,Walmart,Sports,Acrylic Panel,"Montreal, Quebec",2022-06-18,24-Jun-2022,47,453.63,Delivered
ORD202225,Nike,Retail,LED Signage,"Edmonton, Alberta",2022-05-29,03-Jun-2022,124,$63.29,Shipped
ORD202226,Nike,Construction,,"Vancouver, British Columbia",2022-03-22,24-Mar-2022,191,387.62,Delivered
ORD202227,Bell,Construction,LED signage,"Toronto, Ontario",24/05/2022,2022-05-28,68,$75.04,Delivered
ORD202228,Cineplex,Retail,LED signage,"Calgary, Alberta",31/08/2022,2022-09-04,1,17.44,Processing
ORD202229,Rogers,Construction,Acrylic Panel,"Halifax, Nova Scotia",20/08/2022,24-Aug-2022,193,$415.53,Processing
ORD202230,Adidas,Construction,Banner Print,"Vancouver, British Columbia",2022-11-12,14-Nov-2022,130,49.27,Shipped
ORD202231,FIFA,Sports,Acrylic Panel,"Edmonton, Alberta",02/04/2022,2022-04-05,196,$73.76,Delivered
ORD202232,Rogers,Construction,LED signage,"Toronto, Ontario",03/07/2022,05-Jul-2022,43,320.87,Delivered
ORD202233,Cineplex,Events,Fabric Display,"Edmonton, Alberta",2022-10-26,2022-10-27,94,$239.43,Delivered
ORD202234,Bell,Events,LED Signage,"Surrey, British Columbia",14/09/2022,17-Sep-2022,78,$445.67,Delivered
ORD202235,Bell,Construction,Acrylic Panel," Winnipeg, Manitoba ",2022-11-10,2022-11-11,8,$494.48,Processing
ORD202236,Adidas,Construction,LED Signage,"Edmonton, Alberta",05/01/2022,2022-01-06,143,11.4,Shipped
ORD202237,Cineplex,Retail,Acrylic Panel,"Montreal, Quebec",2022-01-01,07-Jan-2022,132,$361.77,Shipped
ORD202238,Walmart,Retail,LED Signage,"Surrey, British Columbia",03/12/2022,2022-12-05,141,151.16,Processing
ORD202239,Rogers,Retail,LED Signage,"Montreal, Quebec",14/12/2022,17-Dec-2022,163,$158.51,Shipped
ORD202240,Rogers,Retail,Lightbox Frame,"Montreal, Quebec",2022-07-24,27-Jul-2022,64,296.84,Delivered
ORD202241,Nike,Hospitality,LED Signage,"Quebec City, Quebec",28/07/2022,2022-08-03,112,287.38,Shipped
ORD202242,Lululemon,Construction,LED Signage," Winnipeg, Manitoba ",2022-04-23,2022-04-27,173,$453.98,Processing
ORD202243,FIFA,Construction,banner print,"Calgary, Alberta",2022-03-27,2022-03-28,19,$383.63,Processing
ORD202244,Bell,Retail,Lightbox Frame,"Edmonton, Alberta",30/11/2022,2022-12-02,139,265.61,Processing
ORD202245,Lululemon,Retail,Lightbox Frame,"Mississauga, Ontario",15/10/2022,2022-10-21,170,$418.3,Shipped
ORD202246,Rogers,Construction,LED Signage,"Halifax, Nova Scotia",14/02/2022,19-Feb-2022,95,156.86,Delivered
ORD202247,Cineplex,Hospitality,Banner Print,"Edmonton, Alberta",2022-07-18,2022-07-23,105,$401.31,Delivered
ORD202248,Cineplex,Events,Lightbox Frame,"Brampton, Ontario",2022-10-17,2022-10-18,15,129.04,Delivered
ORD202249,FIFA,Construction,Fabric Display,"Montreal, Quebec",2022-06-03,2022-06-06,171,$497.34,Delivered
ORD202250,Bell,Construction,Acrylic Panel,"Montreal, Quebec",19/04/2022,20-Apr-2022,74,401.95,Shipped
ORD202251,Nike,Hospitality,LED signage,"Brampton, Ontario",07/02/2022,2022-02-10,25,455.55,Shipped
ORD202252,Adidas,Events,Banner Print,"Quebec City, Quebec",04/11/2022,2022-11-05,68,$96.9,Processing
ORD202253,Walmart,Retail,Banner Print,"Calgary, Alberta",09/07/2022,2022-07-12,163,$333.0,Processing
ORD202254,Adidas,Events,LED Signage,"Halifax, Nova Scotia",2022-02-11,15-Feb-2022,191,282.36,Shipped
ORD202255,FIFA,Construction,,"Vancouver, British Columbia",2022-07-23,25-Jul-2022,52,$171.68,Delivered
ORD202256,FIFA,Sports,banner print,"Toronto, Ontario",04/06/2022,05-Jun-2022,162,$93.12,Processing
ORD202257,Nike,Retail,Fabric Display,"Vancouver, British Columbia",26/01/2022,30-Jan-2022,20,$127.76,Processing
ORD202258,Cineplex,Hospitality,," Winnipeg, Manitoba ",24/01/2022,2022-01-28,25,$488.97,Delivered
ORD202259,Adidas,Events,banner print,"Quebec City, Quebec",19/04/2022,22-Apr-2022,167,176.12,Delivered
ORD202260,Walmart,Hospitality,Fabric Display,"Mississauga, Ontario",20/06/2022,21-Jun-2022,65,$460.02,Processing
ORD202261,Cineplex,Hospitality,Lightbox Frame,"Edmonton, Alberta",2022-12-22,2022-12-28,66,$139.75,Processing
ORD202262,Walmart,Retail,Lightbox Frame,"Vancouver, British Columbia",2022-09-24,2022-09-27,193,78.19,Processing
ORD202263,Lululemon,Hospitality,Lightbox Frame,"Montreal, Quebec",2022-06-12,2022-06-16,58,$235.83,Delivered
ORD202264,Walmart,Construction,Lightbox Frame,"Montreal, Quebec",21/03/2022,25-Mar-2022,116,423.04,Processing
ORD202265,Rogers,Construction,,"Brampton, Ontario",2022-06-05,08-Jun-2022,160,$81.8,Shipped
ORD202266,Cineplex,Retail,Lightbox Frame,"Edmonton, Alberta",05/05/2022,2022-05-10,47,444.96,Processing
ORD202267,Adidas,Retail,Lightbox Frame,"Vancouver, British Columbia",2022-02-24,2022-02-27,85,345.69,Delivered
ORD202268,Cineplex,Construction,banner print,"Edmonton, Alberta",2022-07-30,2022-08-02,120,311.91,Delivered
ORD202269,Walmart,Retail,Banner Print,"Halifax, Nova Scotia",2022-10-30,02-Nov-2022,108,462.32,Delivered
ORD202270,Bell,Retail,Fabric Display,"Calgary, Alberta",08/02/2022,2022-02-12,94,23.25,Shipped
ORD202271,Cineplex,Retail,banner print,"Mississauga, Ontario",2022-12-13,2022-12-17,32,$213.63,Processing
ORD202272,Walmart,Events,Lightbox Frame," Winnipeg, Manitoba ",12/12/2022,16-Dec-2022,179,412.46,Delivered
ORD202273,Nike,Retail,banner print,"Halifax, Nova Scotia",23/08/2022,2022-08-29,149,$47.42,Processing
ORD202274,Walmart,Sports,LED Signage," Winnipeg, Manitoba ",23/07/2022,2022-07-27,49,$72.42,Processing
ORD202275,Bell,Retail,,"Montreal, Quebec",2022-09-15,2022-09-21,51,$176.07,Delivered
ORD202276,Lululemon,Sports,Acrylic Panel,"Surrey, British Columbia",2022-09-16,2022-09-22,15,$284.09,Processing
ORD202277,Bell,Hospitality,LED signage," Winnipeg, Manitoba ",06/12/2022,2022-12-09,150,$88.0,Delivered
ORD202278,Walmart,Events,Lightbox Frame,"Mississauga, Ontario",08/03/2022,10-Mar-2022,41,$260.32,Delivered
ORD202279,Rogers,Retail,Banner Print,"Halifax, Nova Scotia",2022-07-04,2022-07-05,34,334.45,Delivered
ORD202280,Cineplex,Events,Acrylic Panel,"Montreal, Quebec",25/10/2022,2022-10-31,41,103.17,Processing
ORD202281,Lululemon,Hospitality,LED signage,"Halifax, Nova Scotia",2022-02-16,2022-02-21,67,$17.86,Shipped
