Order_ID,Customer_Name,Industry,Product,City_Province,Order_Date,Shipping_Date,Units_Sold,Price_per_Unit,Status
ORD20251,Adidas,Sports,Banner Print,"Vancouver, British Columbia",02/10/2025,2025-10-06,185,$118.93,Delivered
ORD20252,Nike,Retail,LED signage,"Montreal, Quebec",09/10/2025,2025-10-12,26,$397.39,Delivered
ORD20253,Rogers,Retail,LED signage,"Edmonton, Alberta",29/05/2025,2025-06-01,31,$478.28,Processing
ORD20254,Cineplex,Construction,,"Edmonton, Alberta",26/11/2025,2025-11-29,3,439.26,Shipped
ORD20255,Lululemon,Sports,Fabric Display,"Toronto, Ontario",2025-07-05,2025-07-07,90,393.43,Processing
ORD20256,Adidas,Sports,Banner Print,"Calgary, Alberta",2025-04-05,06-Apr-2025,87,250.54,Shipped
ORD20257,Nike,Retail,Lightbox Frame,"Surrey, British Columbia",2025-05-20,24-May-2025,179,$490.1,Delivered
ORD20258,Bell,Sports,Fabric Display,"Edmonton, Alberta",2025-09-09,12-Sep-2025,38,69.34,Delivered
ORD20259,Cineplex,Sports,Banner Print,"Halifax, Nova Scotia",2025-04-30,01-May-2025,157,$145.75,Delivered
ORD202510,FIFA,Sports,LED signage,"Halifax, Nova Scotia",2025-10-28,03-Nov-2025,108,$475.92,Delivered
ORD202511,Rogers,Retail,LED signage,"Quebec City, Quebec",2025-04-24,28-Apr-2025,82,424.19,Processing
ORD202512,Nike,Events,LED Signage,"Toronto, Ontario",2025-06-08,2025-06-09,104,$106.03,Shipped
ORD202513,Adidas,Hospitality,Banner Print,"Brampton, Ontario",16/04/2025,2025-04-18,69,193.95,Delivered
ORD202514,Lululemon,Retail,LED Signage,"Brampton, Ontario",07/09/2025,08-Sep-2025,124,338.67,Delivered
ORD202515,Lululemon,Events,LED Signage,"Halifax, Nova Scotia",26/04/2025,28-Apr-2025,194,192.88,Delivered
ORD202516,Lululemon,Events,Banner Print,"Toronto, Ontario",2025-04-22,25-Apr-2025,70,$230.59,Shipped
ORD202517,Cineplex,Events,LED signage,"Halifax, Nova Scotia",2025-04-14,19-Apr-2025,44,145.76,Processing
ORD202518,Lululemon,Sports,Lightbox Frame,"Brampton, Ontario",2025-05-07,08-May-2025,174,$437.07,Delivered
ORD202519,Nike,Events,LED Signage,"Edmonton, Alberta",2025-05-06,12-May-2025,35,242.91,Shipped
ORD202520,Lululemon,Sports,,"Calgary, Alberta",02/10/2025,2025-10-06,185,$316.83,Processing
ORD202521,Walmart,Retail,Acrylic Panel,"Halifax, Nova Scotia",02/03/2025,07-Mar-2025,187,$176.26,Processing
ORD202522,Lululemon,Hospitality,Lightbox Frame,"Vancouver, British Columbia",17/01/2025,23-Jan-2025,181,$154.39,Shipped
ORD202523,Lululemon,Retail,Acrylic Panel,"Quebec City, Quebec",2025-12-31,2026-01-06,40,$363.73,Delivered
ORD202524,Rogers,Sports,Lightbox Frame,"Montreal, Quebec",01/10/2025,07-Oct-2025,86,145.21,Shipped
ORD202525,Nike,Construction,,"Brampton, Ontario",2025-04-26,02-May-2025,192,165.85,Processing
ORD202526,FIFA,Events,Banner Print,"Halifax, Nova Scotia",2025-11-28,2025-11-29,44,255.4,Delivered
ORD202527,Walmart,Hospitality,banner print," Winnipeg, Manitoba ",18/03/2025,24-Mar-2025,153,$76.78,Processing
ORD202528,Nike,Events,Fabric Display,"Vancouver, British Columbia",18/04/2025,2025-04-24,169,$342.41,Shipped
ORD202529,Nike,Construction,LED signage,"Montreal, Quebec",2025-07-01,2025-07-03,82,97.89,Shipped
ORD202530,Adidas,Construction,Fabric Display,"Edmonton, Alberta",2025-11-23,28-Nov-2025,59,137.04,Delivered
ORD202531,Adidas,Events,Banner Print,"Toronto, Ontario",04/08/2025,05-Aug-2025,162,221.25,Processing
ORD202532,Bell,Sports,Banner Print,"Halifax, Nova Scotia",24/05/2025,27-May-2025,128,305.19,Shipped
ORD202533,Nike,Events,Acrylic Panel,"Mississauga, Ontario",15/10/2025,2025-10-16,120,150.8,Delivered
ORD202534,Walmart,Sports,banner print,"Edmonton, Alberta",24/04/2025,26-Apr-2025,57,499.33,Delivered
ORD202535,Bell,Sports,LED signage,"Halifax, Nova Scotia",29/08/2025,01-Sep-2025,187,38.71,Delivered
ORD202536,Walmart,Retail,Banner Print,"Calgary, Alberta",19/08/2025,2025-08-25,193,82.95,Shipped
ORD202537,Walmart,Retail,Lightbox Frame," Winnipeg, Manitoba ",2025-03-17,20-Mar-2025,47,$469.26,Delivered
ORD202538,Walmart,Retail,,"Toronto, Ontario",2025-08-06,11-Aug-2025,69,$486.8,Delivered
